ANA3,ANA2
ANA3,DEV2
DEV3,ANA2
DEV3,ALG2
DEV3,DEV2
DON3,DON2
ALG3,ALG2
SYSG4,SYS2
VEI5,DON2
VEI5,DEV2
VEI5,DEV3
VEI5,DEV4
ATLG3,ANA2
ATLG3,ALG2
ATLG3,DEV2
WEBG4,WEBG2
ECOG4,CPT1
CPTG4,CPT1
ERGG4,DEV2
ERGG4,WEBG2
PRJG5,ANA3
PRJG5,ATLG3
PRJG5,ATLG4
PRJG5,DON3
PRJG5,DON4
PRJG5,WEBG4
MOBG5,ATLG4
WEBG5,WEBG4
WEBG5,DON3
ORGG5,CPTG4
ORGG5,ECOG4
ERPG5,WEBG4
SYSG5,SYSG4
DONG5,DON3
DONG5,DON4
DONG5,LPDG4
SYSIR3,SYS2
ATLIR4,ANA2
ATLIR4,ALG2
ATLIR4,DEV2
ORGIR5,CPT1
ORGIR5,DEV2
ATLIR5,ATLIR4
ATLIR5,DEV4
ANLIR5,ANA3
IMGI4,STA2
AVAI4,PHYIR2
AVAI4,RESIR2
AGRI4,DEV1
AGRI4,SYS2
AGRI4,RESIR2
IOTI4,RESIR2
AUTI5,AUTI3
IMGI5,IMGI4
PIAI5,DEV3
SECI5,ANA2
SECI5,ALG2
SECI5,RESIR2
SECI5,DEV2
SECI5,DEV3
SECI5,AGRI4
IEII5,MAT1
IEII5,ALG2
IEII5,DEV2
RELI5,MAT1
RELI5,PHYIR2
RELI5,DEV3
RELI5,DEV4
RELI5,EMBI4
ROBI5,MAT1
ROBI5,ALG2
ROBI5,DEV2
STRI5,SYSIR3
STRI5,DEV3
STRI5,DEV4
PRJI5,AVAI4
PHYR3,PHYIR2
LANR3,RESIR2
AGWR4,RESIR2
AGLR4,RESIR2
WANR4,RESIR2
WIRR4,RESIR2
AGRR5,DEV3
AGRR5,AGLR4
AGRR5,AGWR4
IXVR5,RESIR2
IXVR5,LANR3
IXVR5,WANR4
SECR5,LANR3
SECR5,WANR4
